account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,total_subscriptions,avg_mrr,avg_arr,total_upgrades,total_downgrades,auto_renew_count,trial_count,total_usage,avg_usage_duration,total_errors,beta_feature_usage,ticket_count,avg_resolution_time,avg_first_response,avg_satisfaction,total_escalations,total_refund,pre_upgrade_count,pre_downgrade_count,reactivation_count,churn_events_count,tenure_days,usage_score,support_score,subscription_stability,customer_health_score,health_status
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,19,1714.2631578947369,20571.157894736843,1,1,15,3,1053,3230.5247524752476,55,13,3.0,32.666666666666664,80.66666666666667,5.0,0.0,22.66,0.0,0.0,0.0,1.0,637,100.00000000000003,100.0,75.0,92.50000000000001,Healthy
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,10,4324.7,51896.4,1,0,6,3,562,2730.6545454545453,22,5,2.0,20.5,125.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,593,48.907388137356925,100.0,35.0,60.06295525494277,Good
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,12,1353.5,16242.0,2,0,10,2,670,3394.921875,30,10,3.0,40.333333333333336,68.33333333333333,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1167,60.14568158168575,95.0,60.00000000000001,70.5582726326743,Good
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,12,1952.6666666666667,23432.0,1,2,10,2,642,2312.478260869565,26,8,4.0,26.75,95.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,891,57.23204994797088,80.0,45.0,60.39281997918835,Good
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,13,2262.076923076923,27144.923076923078,0,1,10,2,658,2474.7428571428572,49,8,2.0,50.5,118.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,571,58.89698231009366,60.0,45.0,55.05879292403746,At Risk
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,8,3468.25,41619.0,2,0,7,1,531,3163.4444444444443,42,7,2.0,24.5,30.5,4.0,0.0,128.79,0.0,0.0,0.0,2.0,1020,45.68158168574402,80.0,45.0,55.77263267429761,At Risk
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,7,1895.142857142857,22741.714285714286,0,0,5,0,367,2871.864864864865,13,3,6.0,50.166666666666664,94.83333333333333,4.25,1.0,0.0,0.0,0.0,1.0,1.0,566,28.616024973985432,80.0,25.0,42.94640998959417,At Risk
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,6,1976.3333333333333,23716.0,0,0,6,0,494,2903.4565217391305,19,6,6.0,41.666666666666664,79.16666666666667,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1036,41.83142559833507,70.0,30.000000000000004,46.73257023933403,At Risk
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,9,1627.3333333333333,19528.0,0,1,7,1,427,3191.720930232558,18,9,5.0,36.0,59.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1203,34.8595213319459,72.0,30.000000000000004,44.54380853277836,At Risk
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,8,1162.375,13948.5,3,0,3,2,511,3218.591836734694,25,6,3.0,26.0,108.66666666666667,4.0,1.0,0.0,1.0,0.0,0.0,2.0,948,43.600416233090534,75.0,30.000000000000004,48.94016649323622,At Risk
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,14,846.0,10152.0,3,1,9,2,653,2906.8030303030305,44,15,4.0,14.25,97.75,4.666666666666667,1.0,0.0,0.0,0.0,1.0,2.0,801,58.37669094693029,88.33333333333334,55.00000000000001,66.35067637877212,Good
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,8,646.875,7762.5,1,1,6,0,337,2810.942857142857,20,5,9.0,31.333333333333332,81.88888888888889,4.0,1.0,0.0,0.0,0.0,0.0,0.0,696,25.49427679500521,75.0,30.000000000000004,41.697710718002085,At Risk
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,14,2603.214285714286,31238.571428571428,2,0,11,3,687,3020.1014492753625,37,8,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0,35.48,1.0,0.0,1.0,2.0,673,61.91467221644121,66.66666666666667,65.0,64.26586888657648,Good
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,8,9492.25,113907.0,0,0,7,1,402,3034.1190476190477,22,10,3.0,57.666666666666664,108.33333333333333,4.0,0.0,0.0,0.0,0.0,0.0,1.0,765,32.25806451612904,80.0,35.0,47.403225806451616,At Risk
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,7,516.1428571428571,6193.714285714285,0,1,7,3,324,3066.03125,20,2,0.0,0.0,0.0,3.0,0.0,136.94,0.0,0.0,0.0,2.0,628,24.141519250780437,60.0,30.000000000000004,36.65660770031218,Critical
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,9,1129.111111111111,13549.333333333334,2,0,7,1,488,3206.553191489362,19,2,5.0,34.0,59.6,4.5,0.0,0.0,0.0,0.0,0.0,3.0,1205,41.20707596253903,90.0,45.0,56.98283038501562,At Risk
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,9,1569.0,18828.0,0,1,8,1,602,2954.5862068965516,31,7,2.0,33.0,120.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1013,53.0697190426639,60.0,35.0,49.72788761706556,At Risk
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,16,2027.0625,24324.75,3,0,14,3,791,3292.4305555555557,37,7,4.0,49.75,119.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1153,72.73673257023935,100.0,85.00000000000001,84.59469302809575,Healthy
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,10,4209.6,50515.2,0,0,9,0,538,3504.3207547169814,44,6,4.0,34.0,126.5,4.0,0.0,0.0,0.0,0.0,0.0,1.0,970,46.40998959417274,80.0,45.0,56.0639958376691,At Risk
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,7,1581.2857142857142,18975.428571428572,1,0,6,0,329,3188.3030303030305,12,5,2.0,61.5,27.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,1001,24.66181061394381,70.0,35.0,41.36472424557753,At Risk
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,10,1023.6,12283.2,2,1,8,1,540,3189.581818181818,23,5,5.0,24.8,102.8,4.0,1.0,0.0,0.0,0.0,0.0,1.0,630,46.6181061394381,75.0,45.0,54.64724245577524,At Risk
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,7,1173.7142857142858,14084.57142857143,2,1,5,1,424,3204.5641025641025,30,2,5.0,45.4,91.8,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1067,34.547346514047874,73.33333333333333,30.000000000000004,44.818938605619145,At Risk
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,11,1983.7272727272727,23804.727272727272,0,0,7,2,651,2967.126984126984,32,7,3.0,43.0,84.0,3.0,0.0,228.75,0.0,0.0,0.0,2.0,727,58.16857440166494,60.0,35.0,51.767429760665976,At Risk
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,12,1438.3333333333333,17260.0,2,0,11,1,693,3127.765625,27,5,6.0,23.666666666666668,90.16666666666667,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1156,62.53902185223726,80.0,65.0,68.5156087408949,Good
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,7,1113.857142857143,13366.285714285714,2,0,7,2,385,3396.6216216216217,11,6,1.0,27.0,49.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1211,30.489073881373574,80.0,45.0,49.695629552549434,At Risk
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,4,114.0,1368.0,0,0,4,3,248,3379.9583333333335,13,3,7.0,40.857142857142854,76.14285714285714,4.6,0.0,98.48,0.0,1.0,0.0,1.0,773,16.233090530697194,92.0,20.0,40.093236212278875,At Risk
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,9,1265.7777777777778,15189.333333333334,0,0,7,0,376,3269.6153846153848,31,3,8.0,30.75,82.5,4.25,1.0,0.0,0.0,0.0,0.0,0.0,1139,29.55254942767951,80.0,35.0,46.3210197710718,At Risk
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,12,1677.5833333333333,20131.0,2,1,9,2,733,3134.957746478873,53,4,4.0,64.0,110.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,730,66.70135275754423,80.0,50.0,65.68054110301769,Good
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,6,2459.8333333333335,29518.0,0,0,5,0,248,3063.2083333333335,10,4,5.0,44.2,100.8,4.8,0.0,8.47,1.0,0.0,0.0,1.0,564,16.233090530697194,96.0,25.0,42.79323621227888,At Risk
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,11,797.3636363636364,9568.363636363636,0,1,11,1,647,3154.8064516129034,33,4,5.0,27.2,109.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,605,57.752341311134245,80.0,50.0,62.1009365244537,Good
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,12,4259.083333333333,51109.0,2,0,10,0,706,3091.283582089552,46,9,4.0,20.0,108.5,4.0,0.0,72.19,2.0,0.0,0.0,2.0,1147,63.89177939646202,80.0,60.00000000000001,67.55671175858481,Good
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,7,509.2857142857143,6111.428571428572,3,0,7,3,493,3180.4565217391305,31,5,3.0,40.333333333333336,136.33333333333334,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,668,41.7273673257024,86.66666666666666,50.0,57.69094693028096,At Risk
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,15,2634.4,31612.8,2,0,10,1,734,2950.4675324675327,38,5,1.0,36.0,135.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1198,66.80541103017691,60.0,60.00000000000001,62.72216441207077,Good
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,13,2491.846153846154,29902.153846153848,4,0,11,1,666,3219.9253731343283,31,5,2.0,12.0,78.0,4.5,0.0,99.1,0.0,0.0,1.0,2.0,1198,59.729448491155054,90.0,75.0,73.39177939646203,Good
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,13,1497.3076923076924,17967.69230769231,1,0,12,1,672,3186.7727272727275,36,4,3.0,42.666666666666664,111.33333333333333,3.5,0.0,0.0,0.0,0.0,0.0,1.0,718,60.3537981269511,70.0,65.0,64.64151925078045,Good
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,10,2907.1,34885.2,2,0,7,1,465,2723.340425531915,19,7,3.0,26.333333333333332,82.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,786,38.81373569198752,100.0,45.0,59.02549427679501,At Risk
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,11,944.9090909090909,11338.90909090909,2,1,9,1,597,2928.2033898305085,31,3,2.0,18.5,141.0,4.5,1.0,0.0,0.0,0.0,0.0,1.0,1174,52.549427679500525,85.0,50.0,61.51977107180021,Good
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,15,2547.3333333333335,30568.0,3,1,10,4,693,2913.5142857142855,27,6,5.0,22.4,67.4,4.333333333333333,0.0,6.26,0.0,1.0,0.0,1.0,850,62.53902185223726,86.66666666666666,60.00000000000001,69.0156087408949,Good
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,12,1706.25,20475.0,0,0,10,3,489,2746.5625,21,3,4.0,42.25,83.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,601,41.3111342351717,73.33333333333333,50.0,53.524453694068676,At Risk
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,13,1821.2307692307693,21854.76923076923,2,1,9,2,523,3422.269230769231,24,5,5.0,27.4,46.6,4.0,0.0,113.17,1.0,0.0,0.0,3.0,1016,44.84911550468262,80.0,50.0,56.939646201873046,At Risk
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,12,1590.6666666666667,19088.0,1,1,9,5,696,3242.3698630136987,60,5,2.0,42.0,38.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,838,62.85119667013529,60.0,45.0,56.640478668054115,At Risk
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,16,1999.3125,23991.75,2,1,14,3,746,2650.961038961039,63,7,3.0,47.333333333333336,87.66666666666667,5.0,0.0,0.0,0.0,0.0,0.0,1.0,817,68.054110301769,100.0,75.0,79.7216441207076,Good
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,11,2400.909090909091,28810.909090909092,1,0,9,0,514,3204.7924528301887,34,5,6.0,23.333333333333332,100.5,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1175,43.91259105098856,80.0,50.0,56.56503642039543,At Risk
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,8,3223.75,38685.0,1,2,5,0,375,3274.025641025641,30,4,3.0,50.333333333333336,93.66666666666667,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1052,29.44849115504683,80.0,20.0,41.77939646201873,At Risk
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,8,562.25,6747.0,1,0,8,2,418,2812.8048780487807,22,6,2.0,34.5,61.5,3.5,0.0,7.58,2.0,0.0,1.0,3.0,1268,33.92299687825182,70.0,45.0,48.06919875130073,At Risk
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,16,3003.75,36045.0,2,0,14,1,818,3350.098765432099,27,10,3.0,48.333333333333336,43.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,837,75.54630593132154,70.0,80.0,75.21852237252861,Good
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,8,1166.5,13998.0,1,0,5,1,399,2906.7368421052633,12,3,3.0,42.666666666666664,75.33333333333333,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1076,31.94588969823101,60.0,30.000000000000004,39.778355879292405,Critical
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,17,1525.1764705882354,18302.117647058825,2,1,10,2,924,2971.465909090909,59,13,4.0,35.25,37.25,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,715,86.57648283038503,86.66666666666666,55.00000000000001,77.130593132154,Good
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,13,2414.6153846153848,28975.384615384617,3,1,9,2,477,2904.0392156862745,25,5,2.0,15.0,98.5,4.0,0.0,0.0,0.0,0.0,0.0,1.0,672,40.062434963579605,80.0,55.00000000000001,56.52497398543184,At Risk
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,9,1046.6666666666667,12560.0,3,1,7,2,439,3082.7179487179487,17,3,3.0,37.0,69.66666666666667,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1212,36.10822060353799,80.0,45.0,51.943288241415196,At Risk
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,12,1009.6666666666666,12116.0,1,1,12,2,565,3233.189655172414,38,5,6.0,28.5,78.83333333333333,4.5,0.0,0.0,0.0,0.0,0.0,1.0,661,49.21956295525495,90.0,60.00000000000001,64.68782518210199,Good
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,12,1889.4166666666667,22673.0,1,0,8,5,464,3126.0625,25,5,6.0,26.833333333333332,80.5,3.5,0.0,0.0,0.0,0.0,0.0,1.0,1148,38.70967741935484,70.0,45.0,49.983870967741936,At Risk
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,5,699.6,8395.2,0,0,4,1,295,3532.8275862068967,22,3,4.0,17.0,65.25,3.75,0.0,113.84,1.0,2.0,1.0,3.0,636,21.123829344432885,75.0,20.0,36.94953173777316,Critical
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,13,2498.230769230769,29978.76923076923,0,0,10,2,729,3148.3142857142857,45,8,5.0,30.2,102.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,735,66.28511966701353,100.0,50.0,71.51404786680541,Good
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,10,4111.6,49339.2,1,0,7,0,511,3463.24,35,5,5.0,39.4,62.6,4.0,0.0,0.0,0.0,0.0,0.0,1.0,949,43.600416233090534,80.0,40.0,53.44016649323622,At Risk
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,12,1993.25,23919.0,3,4,9,0,599,2802.383333333333,33,5,5.0,24.2,56.8,4.333333333333333,0.0,0.0,1.0,1.0,0.0,2.0,610,52.75754422476587,86.66666666666666,40.0,59.10301768990635,At Risk
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,9,4355.666666666667,52268.0,2,0,5,2,565,2843.089285714286,45,5,5.0,51.4,134.6,3.5,1.0,41.17,2.0,0.0,0.0,3.0,801,49.21956295525495,65.0,35.0,49.68782518210198,At Risk
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,False,14,1343.357142857143,16120.285714285714,1,1,8,3,528,2813.6603773584907,31,6,2.0,45.0,82.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,720,45.369406867845996,80.0,40.0,54.1477627471384,At Risk
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,11,2544.909090909091,30538.909090909092,0,0,10,2,396,2944.1666666666665,26,7,4.0,29.5,135.5,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1200,31.633714880332985,80.0,50.0,51.653485952133195,At Risk
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,13,2138.6923076923076,25664.30769230769,1,0,11,1,692,2804.285714285714,25,6,5.0,35.4,63.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,714,62.434963579604585,95.0,60.00000000000001,71.47398543184184,Good
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,6,1778.1666666666667,21338.0,1,0,5,0,393,3168.5675675675675,13,2,2.0,15.5,103.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,587,31.32154006243497,80.0,30.000000000000004,45.528616024973985,At Risk
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,12,1643.75,19725.0,0,1,10,2,597,3391.396551724138,22,3,4.0,33.5,156.5,4.0,0.0,27.92,0.0,0.0,0.0,2.0,1000,52.549427679500525,80.0,45.0,58.51977107180021,At Risk
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,12,963.9166666666666,11567.0,1,0,11,2,545,3396.277777777778,43,1,1.0,72.0,105.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,992,47.13839750260146,80.0,60.00000000000001,60.85535900104058,Good
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,15,3598.4,43180.8,2,0,12,2,689,2987.5072463768115,61,6,2.0,39.0,167.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,567,62.12278876170656,100.0,70.0,75.84911550468263,Good
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,8,1800.25,21603.0,0,0,5,1,366,3201.7567567567567,20,7,3.0,17.666666666666668,120.66666666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1176,28.511966701352765,80.0,25.0,42.90478668054111,At Risk
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,False,12,708.6666666666666,8504.0,0,0,9,3,581,3068.7457627118642,30,10,3.0,36.666666666666664,51.666666666666664,3.0,0.0,0.0,0.0,0.0,1.0,1.0,929,50.88449531737774,60.0,45.0,51.8537981269511,At Risk
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,14,2354.0,28248.0,0,0,11,3,684,3045.8888888888887,28,5,3.0,17.333333333333332,84.66666666666667,4.5,1.0,0.0,0.0,0.0,0.0,1.0,818,61.602497398543186,85.0,55.00000000000001,66.64099895941727,Good
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,12,963.9166666666666,11567.0,1,1,11,4,511,2794.0,33,6,4.0,33.75,98.25,3.0,0.0,23.52,1.0,1.0,0.0,4.0,1156,43.600416233090534,60.0,55.00000000000001,51.94016649323622,At Risk
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,9,2868.1111111111113,34417.333333333336,1,0,7,1,451,3365.777777777778,28,4,1.0,51.0,128.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1234,37.35691987513008,60.0,40.0,44.94276795005203,At Risk
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,8,438.875,5266.5,1,0,7,3,538,2994.3584905660377,31,6,8.0,41.25,59.75,3.3333333333333335,1.0,66.37,1.0,0.0,2.0,4.0,1140,46.40998959417274,61.66666666666667,40.0,49.0639958376691,At Risk
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,10,3645.6,43747.2,2,1,6,1,455,2827.931818181818,21,8,3.0,37.333333333333336,74.0,4.5,0.0,0.0,1.0,0.0,0.0,1.0,1055,37.77315296566077,90.0,35.0,52.609261186264305,At Risk
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,10,1353.2,16238.4,2,0,9,4,335,2929.4545454545455,17,2,4.0,28.5,61.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,854,25.286160249739854,100.0,55.00000000000001,56.61446409989594,At Risk
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,19,1830.6315789473683,21967.57894736842,2,0,16,2,993,2877.408163265306,45,15,3.0,35.666666666666664,128.33333333333334,4.0,0.0,122.11,0.0,0.0,0.0,1.0,1089,93.75650364203956,80.0,90.0,88.50260145681582,Healthy
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,8,1539.0,18468.0,2,1,8,2,461,3128.744680851064,32,5,3.0,26.666666666666668,107.33333333333333,4.0,0.0,8.92,1.0,0.0,0.0,2.0,585,38.39750260145682,80.0,45.0,52.859001040582726,At Risk
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,8,2450.5,29406.0,0,0,8,2,373,3014.815789473684,16,1,1.0,36.0,79.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1231,29.240374609781483,60.0,40.0,41.69614984391259,At Risk
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,16,1719.125,20629.5,2,1,14,2,696,2632.788732394366,26,7,3.0,42.333333333333336,118.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,958,62.85119667013529,55.0,75.0,64.14047866805412,Good
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,9,2591.5555555555557,31098.666666666668,1,0,9,1,402,2928.641025641026,17,3,7.0,30.571428571428573,94.71428571428571,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,934,32.25806451612904,73.33333333333333,50.0,49.903225806451616,At Risk
A-66224b,Company_87,HealthTech,US,2024-10-18,other,Pro,92,True,False,12,5765.333333333333,69184.0,0,0,9,4,626,3036.5409836065573,29,10,6.0,39.833333333333336,82.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,614,55.56711758584808,70.0,45.0,56.72684703433923,At Risk
